OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,Shape__Area,Shape__Length
42399,2018,CA,USF,KNF,CHERRY,00004399,2018/06/27 00:00:00+00,2018/07/02 00:00:00+00,5,,63,62.81454086,8,1,,458277.725257485,3491.90726737879
42400,2018,CA,USF,KNF,PETERSBURG,00004499,2018/07/01 00:00:00+00,2018/10/05 00:00:00+00,9,WFDSS,215,225.59812927,8,1,,1608764.33466978,7117.03988915681
42401,2018,CA,USF,HTF,BOOT,00030600,2018/09/14 00:00:00+00,2018/09/17 00:00:00+00,14,,,6972.25195313,5,1,,45997275.1261507,77419.8101111076
42402,2018,CA,USF,HTF,CLIFF,00030561,2018/08/28 00:00:00+00,2018/08/28 00:00:00+00,14,,,1.613114,3,1,,10651.982720155,420.101243390605
42403,2018,CA,USF,CNF,JIM,00001756,2018/06/05 00:00:00+00,2018/06/18 00:00:00+00,14,,,0.59549946,1,1,,3488.755634855,296.700591885704
42404,2018,CA,USF,CNF,MONTE,00001363,2018/05/09 00:00:00+00,2018/05/10 00:00:00+00,14,,,13.08841896,8,1,,75336.91576227,1296.80092679429
42405,2018,CA,USF,RRS,NATCHEZ,00000348,2018/10/19 00:00:00+00,2018/12/18 00:00:00+00,14,,,38117.8515625,7,1,,278429084.94343,230723.060895212
42406,2018,CA,USF,BDF,RIBBON,00011421,2018/07/28 00:00:00+00,2018/08/03 00:00:00+00,14,,,222.28303528,8,1,,1299608.99755536,12886.853879747
42407,2018,CA,USF,SQF,ROCK,00002758,2018/10/29 00:00:00+00,2018/10/30 00:00:00+00,14,,,1.74101031,1,1,,10989.634102225,640.420325235795
42408,2018,CA,USF,HTF,SILVER KING,00030556,2018/08/30 00:00:00+00,2018/08/31 00:00:00+00,14,,,11.84939098,3,1,,78243.92417843,1703.92906076635
42409,2018,CA,USF,LNF,WHALEBACK,00003951,2018/08/05 00:00:00+00,2018/08/06 00:00:00+00,14,,,18701.8984375,7,1,,131529873.670576,64113.0957824329
42410,2018,CA,USF,HTF,GOLD,00030274,2018/06/27 00:00:00+00,2018/08/03 00:00:00+00,14,,,0.42570049,1,1,,2840.956486985,223.378110836884
42411,2018,CA,USF,RRS,POKER,00000350,2018/07/22 00:00:00+00,2018/12/18 00:00:00+00,14,,,4.83789206,7,1,,35453.46525309,682.970621201934
