0,DATE,D0,D1,D2,D3,D4,-9,W0,W1,W2,W3,W4
42.5,d_20010901,24.6,19.2,10.9,7.1,2.7,0,32.9,15.6,0.1,0,0
56.3,d_20011001,25.1,17.4,8.6,5.2,2.1,0,18.8,6.5,0,0,0
58,d_20011101,30,17,2.9,0.2,0,0,12,5.4,0.2,0,0
32.6,d_20011201,25,19.1,8,4.3,1.6,0,42.4,26.9,1.7,0.1,0
44,d_20020101,40.8,33,19.2,13.7,4.9,0,15.1,4.4,0,0,0
43.1,d_20020201,50.3,43.2,29.7,20.6,12.9,0,6.6,0.1,0,0,0
46.4,d_20020301,53.3,46.1,35.6,26.7,15.3,0,0.3,0,0,0,0
41.4,d_20020401,58.6,48.7,39.9,35.5,24.9,0,0.1,0,0,0,0
39.2,d_20020501,60.6,50.5,42,36.9,27.5,0,0.1,0,0,0,0
38.4,d_20020601,61.4,49.9,41.2,35.4,25.7,0,0.1,0,0,0,0
42.5,d_20020701,57.3,47.6,40.5,35.8,26.2,0,0.1,0,0,0,0
23.3,d_20020801,76.6,60,45.4,42.8,37,0,0,0,0,0,0
0,d_20020901,100,98.6,77.2,50.9,35.3,0,0,0,0,0,0
0,d_20021001,100,99.5,90.2,69.6,38.8,0,0,0,0,0,0
22,d_20021101,77.3,60.6,37.6,18.1,4.3,0,0.7,0.1,0,0,0
30.2,d_20021201,26.5,21.7,8.9,4.2,1.6,0,43.2,26.5,4.2,0,0
40.2,d_20030101,35.6,28.7,16.3,8.9,3.6,0,24.2,10.7,0,0,0
73.8,d_20030201,16.3,4.3,2.2,1.5,0.3,0,9.8,0.1,0,0,0
73.4,d_20030301,18.9,4.6,0.3,0,0,0,7.8,0.5,0,0,0
76.4,d_20030401,2.3,0.1,0,0,0,0,21.3,10.3,0.2,0,0
73.4,d_20030501,0.3,0,0,0,0,0,26.4,10.4,0.1,0,0
70.4,d_20030601,0.3,0,0,0,0,0,29.3,10.5,0.1,0,0
57.5,d_20030701,0.1,0,0,0,0,0,42.4,19.3,2.3,0,0
60.1,d_20030801,0.9,0,0,0,0,0,39,20.7,6,1.3,0
64.5,d_20030901,21.3,6,0,0,0,0,14.1,3.7,0,0,0
62.9,d_20031001,6.9,0.5,0,0,0,0,30.2,16.4,0.9,0,0
66.7,d_20031101,3.7,0.9,0,0,0,0,29.6,9.7,1.5,0,0
30.4,d_20031201,4.4,1.9,0.5,0,0,0,65.1,41,5.9,1.6,0
70.5,d_20040101,24.1,11.1,3.3,0.7,0,0,5.3,2.2,0,0,0
70,d_20040201,5.5,1.1,0,0,0,0,24.4,9.6,0.2,0,0
66.2,d_20040301,19.7,5.4,0,0,0,0,14.1,4.1,0,0,0
52.4,d_20040401,34.4,13.7,0.2,0,0,0,13.2,3.2,0.3,0,0
50,d_20040501,44,26.9,1.2,0,0,0,6,0.2,0,0,0
47.7,d_20040601,42.9,24.4,0.9,0,0,0,9.5,0.3,0,0,0
50.4,d_20040701,35,14.9,0.1,0,0,0,14.6,1,0,0,0
61.5,d_20040801,32.3,12.7,0.5,0,0,0,6.2,0.8,0,0,0
41.1,d_20040901,56.2,31.2,1.9,0,0,0,2.6,0,0,0,0
66.3,d_20041001,0.3,0,0,0,0,0,33.5,16.5,4.2,0.2,0
40.1,d_20041101,39.3,25.1,5.2,1.2,0,0,20.5,14.7,2.9,0.7,0
33.8,d_20041201,4.3,0,0,0,0,0,61.9,48.7,24.3,11.2,1.9
22.9,d_20050101,4.5,1.3,0,0,0,0,72.6,65.5,48.1,34.8,17.4
17,d_20050201,12.5,5.7,0.6,0,0,0,70.5,64.2,51.4,42.8,30
20.6,d_20050301,7.5,2.5,0,0,0,0,71.8,66.9,51.2,40.3,23.3
25.5,d_20050401,3.3,0.4,0,0,0,0,71.3,65.3,49.1,38.6,23.7
20.2,d_20050501,0.6,0,0,0,0,0,79.1,70.6,54.8,43.6,26.2
16.7,d_20050601,0.2,0,0,0,0,0,83.1,72.4,55.7,44.7,27.5
25.5,d_20050701,0.7,0,0,0,0,0,73.7,62.9,42.1,31.2,18.8
20.3,d_20050801,0.3,0,0,0,0,0,79.3,66.9,44.1,31.2,17.2
27.4,d_20050901,1,0,0,0,0,0,71.5,59.1,34.4,24.6,5.4
31.2,d_20051001,0.8,0.3,0,0,0,0,68.1,38.8,25.2,15.1,3.1
48.1,d_20051101,2.7,0.3,0,0,0,0,49.3,29.1,4.7,0.6,0
37.6,d_20051201,6,2.3,0.2,0,0,0,56.2,45.3,35.5,26.7,7.6
