Order Date,Order ID,Carrier Name & Tracking Number,Subtotal,Shipping Charge,Tax Before Promotions,Total Promotions,Tax Charged,Total Charged
5/19/2020,114-8587002-0095432,AMZN_US(TBA039575251701),$12.88 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$12.88 
5/23/2020,114-8055608-5881831,AMZN_US(TBA043831733501),$39.99 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$39.99 
5/26/2020,114-8912255-8965807,AMZN_US(TBA045739021901),$13.96 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$13.96 
5/27/2020,114-7825386-5634667,AMZN_US(TBA227171987000),$15.99 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$15.99 
6/6/2020,114-0946809-0234665,AMZN_US(TBA055783484901),$12.56 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$12.56 
6/7/2020,114-1873932-1381820,UPS(1Z4459Y90327758077),$69.99 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$69.99 
6/18/2020,113-5077942-3665049,AMZN_US(TBA067207120701),$39.95 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$39.95 
6/20/2020,111-5532503-9033835,AMZN_US(TBA068731345801),$201.93 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$201.93 
7/4/2020,111-3164056-6365844,AMZN_US(TBA083108249801),$37.68 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$37.68 
7/7/2020,111-4971659-4981052,USPS(9361289725009226758254),$26.99 ,$0.00 ,$2.48 ,$0.00 ,$2.48 ,$29.47 
7/12/2020,114-6507258-7269049,UPS(1ZA6F8014299437303),$598.98 ,$49.00 ,$61.56 ,$0.00 ,$61.56 ,$709.54 
7/13/2020,111-3917526-4057826,OSM(9241990233786914973132),$10.64 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$10.64 
7/19/2020,111-3614639-0233841,AMZN_US(TBA095342904701),$12.99 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$12.99 
7/23/2020,111-2843206-6510620,AMZN_US(TBA098171868701),$51.54 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$51.54 
7/23/2020,111-2148487-6666665,AMZN_US(TBA098171868701),$9.90 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$9.90 
8/3/2020,113-7070518-5850645,AMZN_US(TBA243180534000),$10.42 ,$2.99 ,$0.00 ,$0.00 ,$0.00 ,$13.41 
8/3/2020,113-0335396-3123438,AMZN_US(TBA109392879501),$13.99 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$13.99 
8/16/2020,111-4123656-3270639,USPS(9300120111405166966144),$5.58 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$5.58 
